node   1  (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (  42,    0) (  33,   33) (  25,   42) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8)
          (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8)
          (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8)
          (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8)
          (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8)
          (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8)
          (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8)
          (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    8) (  25,    0) (  25,    0) (  25,    0)
          (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0)
          (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0)
          (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    8) (  25,   22) (  25,   22) (  25,   22)
          (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,   22)
          (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,   22) (  25,    0) (  25,    0) (  25,    0)
          (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0)
          (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0) (  25,    0)
          (  25,    0) (  25,    0) (  25,    0) (  25,   24) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  26,    4) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  26,    4) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (   5,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
          (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3) (  25,    3)
